accountsservice 0.6.55-1
pcmanfm 1.3.1-2
perl 5.30.0-3
perl-file-mimeinfo 0.29-2
persepolis 3.2.0-3
pkgconf 1.6.3-2
playerctl 2.0.2-2
polybar 3.4.0-5
poppler 0.80.0-2
powerline 2.7-3
procps-ng 3.3.15-1.2
ps_mem 3.12-1
psmisc 23.2-1
pulseaudio-ctl 1.67-1
python-pip 19.2.3-1.3
ranger 1.9.2.212.g5ae67755-1
reiserfsprogs 3.6.27-2
riot-desktop 1.4.0-1
rofi 1.5.4-1
rofi-scripts 0.10-1
rootmenu 0.15-2
rsync 3.1.3-1
s-nail 14.9.15-1
sed 4.7-1
shadow 4.7-2
spectre-meltdown-checker 0.42-1
speedtest-cli 2.1.2-1
speex 1.2.0-2
steam-native 1.0.0.61-2
sudo 1.8.27-1
surf 2.0-2
swig 4.0.1-1
sxhkd 0.6.1-1
sysfsutils 2.1.0-10
system-config-printer 1.5.11-4
systemd 242.135-1
systemd-boot-manager 0.7-2
systemd-fsck-silent 239-1
systemd-sysvcompat 242.135-1
taglib 1.11.1-3
tar 1.32-1
tauon-music-box 4.8.1-1
telegram-desktop 1.8.9-1
terminus-font 4.48-1
termite 15-1
testdisk 7.0-5
texinfo 6.6-1
thunar-archive-plugin-gtk3 2019.08.15-1
thunar-gtk3 2019.08.15-1
thunar-shares-plugin-gtk3 0.3.0-1
timeshift 19.08.1-3
tlp 1.2.2-1.1
transmission-qt 2.94-2
tree 1.8.0-1
trizen 1.58-1
tumbler 0.2.7-1
udevil 0.4.4-4
usbutils 012-1
util-linux 2.34-3
vulkan-intel 19.2.0-0.1
vulkan-radeon 19.2.0-0.1
w3m 0.5.3.git20190105-1
wavpack 5.1.0-2
wget 1.20.3-2
which 2.21-3
wpa_supplicant 2:2.9-1
xcape 1.2-3
xcursor-breeze 5.11.5-1
xdg-su 1.2.3-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+18+g0547886-1
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-keyboard 1.9.0-3
xf86-input-libinput 0.29.0-1
xf86-input-mouse 1.9.3-1
xf86-input-void 1.4.1-4
xf86-video-amdgpu 19.0.1-1
xf86-video-ati 1:19.0.1-1
xf86-video-intel 1:2.99.917+870+g6f4972d5-1
xf86-video-nouveau 1.0.16-1
xfce4-power-manager 1.6.5-2
xfce4-screenshooter 1.9.6-1
xflux 20130901-5
xfsprogs 5.2.1-1
xorg-server 1.20.5-2.1
xorg-xinit 1.4.1-1
xorg-xprop 1.2.4-1
xorg-xsetroot 1.1.2-1
xreader 2.2.3-2
yay 9.3.1-1.0
zathura-pdf-poppler 0.2.9-1
zenity 3.32.0+17+gfb0938f-1
zensu 0.1-1
zsh 5.7.1-1
zsh-completions 0.30.0-1
